dictionary_category,code,display_name,display_order,description,risk_level,bethesda_section
CYTOLOGY_SPECIMEN_ADEQUACY,SATISFACTORY,Satisfactory for evaluation,1,Specimen is adequate for cytologic interpretation,,"ADEQUACY"
CYTOLOGY_SPECIMEN_ADEQUACY,LIMITED_BUT_EVAL,Limited but evaluable,2,Specimen has limitations but is still evaluable,,"ADEQUACY"
CYTOLOGY_SPECIMEN_ADEQUACY,UNSATISFACTORY,Unsatisfactory for evaluation,3,Specimen cannot be adequately evaluated,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,SCANT_CELLULARITY,Scant cellularity,1,Limited due to insufficient cellular material,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,POOR_PRESERVATION,Poor preservation/fixation,2,Limited due to poor cellular preservation,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,PRESENCE_OF_BLOOD,Presence of blood,3,Limited due to obscuring blood,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,INFLAMMATION,Presence of inflammation,4,Limited due to inflammatory cells,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,THICK_AREAS,Thick areas on slide,5,Limited due to thick cellular areas,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,DRYING_ARTIFACT,Air drying artifact,6,Limited due to air drying artifacts,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,SCANT_SQUAMOUS,Scant squamous epithelial cells,1,Less than 10% of slide covered by well-preserved squamous cells,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,OBSCURED_BY_BLOOD,Obscured by blood,2,More than 75% of epithelial cells obscured by blood,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,OBSCURED_BY_INFLAMMATION,Obscured by inflammation,3,More than 75% of epithelial cells obscured by inflammatory cells,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,THICK_AREAS_UNEVAL,Thick areas preventing evaluation,4,Dense cellular areas preventing adequate visualization,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,POOR_STAINING,Poor staining quality,5,Inadequate staining preventing cellular interpretation,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,CONTAMINATION,Contamination artifact,6,Presence of contaminants preventing evaluation,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,PROCESSING_ARTIFACT,Processing artifact,7,Technical processing issues affecting evaluation,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,OTHER_UNSATISFACTORY,Other (specify),8,Other reason making specimen unsatisfactory for evaluation,,"ADEQUACY"
CYTOLOGY_GENERAL_CATEGORY,NILM,Negative for intraepithelial lesion or malignancy,1,No cellular abnormalities identified,"LOW","INTERPRETATION"
CYTOLOGY_GENERAL_CATEGORY,EPITHELIAL_ABNORMALITY,Epithelial cell abnormalities,2,Abnormal epithelial cells present,,"INTERPRETATION"
CYTOLOGY_GENERAL_CATEGORY,OTHER_MALIGNANCY,Other malignant neoplasms,3,Non-epithelial malignancies,,"INTERPRETATION"
