org_type_id,org_id
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='GHESKIO') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='HOPITAL RENAISSANCE') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de santé Sainte elizabeth') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='CENTRE MEDICO SOCIAL (PORT-AU-PRINCE)') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='CENTRE DE SANTE DE SAINT MICHEL') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='CENTRE DE SANTE COMMUNATAIRE') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='CLINIQUE HOPITAL LAFLEUR DU CHENE') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='CENTRE DE SANTE JOSEPH JANVIER') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name=$$SANT SANTE KAY PA' W$$) 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='HOPITAL SAINTE CLAIRE') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='HOPITAL LA SAINTE FAMILLE') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='HOPITAL SANATORIUM') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Hôpital du Canapé-vert') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Dispensaire de l’Ass. Des Chauffeurs guides') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Dispensaire de Baillergeau c/s campêche') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de Santé Aurore du Belair') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Dispensaire Carifont de Fontamara') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de santé de St. Antoine') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de Santé Snelak') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de Santé de Solino') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de Santé trou sable') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='SOFA') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de Santé Richard Allen') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='ASOLDO') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Hôpital François') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de Santé du Bon Secours') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Klinik fanm kafou fey') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Ligue anti anemie falciforme (LAAF)') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de psychiatrie Mars & Kline') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre St Antoine') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='CAL SODEC') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='PROFAMIL (JACMEL)') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='World Relief') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Institut Fame Pereo') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de santé croix des prés') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='APROSIFA') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de santé kay ti moun') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='CMS/FHSM') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de santé Martissant') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de santé Caravelle') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre de Santé Bethanie') 
 ( select id from organization_type ot where ot.short_name='referring clinic' ) , ( select id from organization o where o.name='Centre St Jude') 
