id,sampletype,test
 nextval( 'sample_type_test_seq' ) , ( select id from clinlims.type_of_sample where description='Aspiration nasopharyngée' ) , ( select id from clinlims.test where description='Inf A et B (Aspiration nasopharyngée)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nasal' ) , (select id from clinlims.test where description='Inf A et B (Ecouvillonage nasal)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nosapharyngé' ) , (select id from clinlims.test where description='Inf A et B (Ecouvillonage nosapharyngé)' )  
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='Inf A et B (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , ( select id from clinlims.type_of_sample where description='Aspiration nasopharyngée' ) , ( select id from clinlims.test where description='VRS (Aspiration nasopharyngée)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nasal' ) , (select id from clinlims.test where description='VRS (Ecouvillonage nasal)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nosapharyngé' ) , (select id from clinlims.test where description='VRS (Ecouvillonage nosapharyngé)' )  
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='VRS (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , ( select id from clinlims.type_of_sample where description='Aspiration nasopharyngée' ) , ( select id from clinlims.test where description='Para Inf 1 (Aspiration nasopharyngée)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nasal' ) , (select id from clinlims.test where description='Para Inf 1 (Ecouvillonage nasal)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nosapharyngé' ) , (select id from clinlims.test where description='Para Inf 1 (Ecouvillonage nosapharyngé)' )  
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='Para Inf 1 (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , ( select id from clinlims.type_of_sample where description='Aspiration nasopharyngée' ) , ( select id from clinlims.test where description='Para Inf 2 (Aspiration nasopharyngée)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nasal' ) , (select id from clinlims.test where description='Para Inf 2 (Ecouvillonage nasal)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nosapharyngé' ) , (select id from clinlims.test where description='Para Inf 2 (Ecouvillonage nosapharyngé)' )  
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='Para Inf 2 (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , ( select id from clinlims.type_of_sample where description='Aspiration nasopharyngée' ) , ( select id from clinlims.test where description='Para Inf 3 (Aspiration nasopharyngée)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nasal' ) , (select id from clinlims.test where description='Para Inf 3 (Ecouvillonage nasal)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nosapharyngé' ) , (select id from clinlims.test where description='Para Inf 3 (Ecouvillonage nosapharyngé)' )  
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='Para Inf 3 (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , ( select id from clinlims.type_of_sample where description='Aspiration nasopharyngée' ) , ( select id from clinlims.test where description='Adénovirus (Aspiration nasopharyngée)' )  
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nasal' ) , (select id from clinlims.test where description='Adénovirus (Ecouvillonage nasal)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Ecouvillonage nosapharyngé' ) , (select id from clinlims.test where description='Adénovirus (Ecouvillonage nosapharyngé)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='Adénovirus (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='LCR' ) , (select id from clinlims.test where description='Diphtérie (LCR)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Ascite' ) , (select id from clinlims.test where description='Diphtérie (Liquide Ascite)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Pleural' ) , (select id from clinlims.test where description='Diphtérie (Liquide Pleural)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Synovial' ) , (select id from clinlims.test where description='Diphtérie (Liquide Synovial)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Sécrétion de la gorge' ) , (select id from clinlims.test where description='Diphtérie (Sécrétion de la gorge)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Secretion Urethrale' ) , (select id from clinlims.test where description='Diphtérie (Secretion Urethrale)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Secretion Vaginale' ) , (select id from clinlims.test where description='Diphtérie (Secretion Vaginale)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Diphtérie (Selles)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Choléra (Selles)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='LCR' ) , (select id from clinlims.test where description='Coqueluche (LCR)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Ascite' ) , (select id from clinlims.test where description='Coqueluche (Liquide Ascite)' ) 
