id,result_type,value,test,lastupdated
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Recherche de BAAR (Crachat)' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Recherche de BAAR (LCR)' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Recherche de BAAR (Liquide Ascite)' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Recherche de BAAR (Liquide Pleural)' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Recherche de BAAR (Liquide Synovial)' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Mycelium' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Leucocytes' ) , now()
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Rare' ) , ( select id from clinlims.test where description='Leucocytes' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where local_abbrev='IND' ) , ( select id from clinlims.test where description='VIH Western Blot' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Invalide' ) , ( select id from clinlims.test where description='VIH Test - Determine' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Invalide' ) , ( select id from clinlims.test where description='VIH Test - Collodial Gold/Shangai Kehua' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Invalide' ) , ( select id from clinlims.test where description='Syphilis Test Rapide' ) , now()
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Invalide' ) , ( select id from clinlims.test where description='Syphilis RPR' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Invalide' ) , ( select id from clinlims.test where description='VIH Test - Oraquick' ) , now()
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Invalide' ) , ( select id from clinlims.test where description='VIH Test - HemaStrip' ) , now()
 nextval( 'test_result_seq' ) ,M, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Recherche de Microfilaires' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Tricho Vag' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Cellules Cloutées' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Protozoaire' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Bactéries (Selles)' ) , now() 
 nextval( 'test_result_seq' ) ,D, (select id from clinlims.dictionary where dict_entry='Négatif' ) , ( select id from clinlims.test where description='Bactéries (Urine)' ) , now()  
