id,panel_id,test_id,sort_order,lastupdated 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'CD4') , (select id from test where description = 'CD4  Compte Abs(Sang Total)') , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'CD4') , (select id from test where description = 'CD4 Compte en %(Sang Total)') , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'Antibiogramme Cholera') , (select id from test where description = $$Sensibilite a l'Acide Nalixidique (NA 30)(Selles)$$) , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'Antibiogramme Cholera') , (select id from test where description = $$Sensibilite a l'Ampiciline (AM10)(Selles)$$) , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'Antibiogramme Cholera') , (select id from test where description = 'Sensibilite a Amoxyline/Acide Clavulanique (NAC 30)(Selles)') , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'Antibiogramme Cholera') , (select id from test where description = 'Sensibilite Azithromycine (AZM15)(Selles)') , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'Antibiogramme Cholera') , (select id from test where description = 'Sensibilite a la Sulfaméthoxazole/triméthoprime (SXT25)(Selles)') , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'Antibiogramme Cholera') , (select id from test where description = 'Sensibilite a la Tetracycline (TE 30)(Selles)') , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'Antibiogramme Cholera') , (select id from test where description = 'Sensibilite a la Ciprofloxacine (CIP5)(Selles)') , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'Antibiogramme Shiguelle') , (select id from test where description = $$Sensibilite a l'Acide Nalixidique (NA 30)(Selles)$$) , null , now() 
nextval( 'panel_item_seq' ) , (select id from panel where name = 'Antibiogramme Shiguelle') , (select id from test where description = 'Sensibilite Amoxyline/Acide Clavulanique (AMC 30)(Selles)') , null , now() 
