id,has_select,has_add,has_update,has_delete,system_role_id,system_module_id
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'MasterList' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TestAnalyte' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'AnalyzerTestName' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Dictionary' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Gender' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Method' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Organization' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Panel' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'PanelItem' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'PatientType' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'ResultLimits' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Role' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'SiteInformation' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'StatusOfSample' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TestReflex' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TestResult' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TestSection' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TypeOfSample' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TypeOfSamplePanel' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TypeOfSampleTest' ) 
