id,has_select,has_add,has_update,has_delete,system_role_id,system_module_id
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:hematology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:chem' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:cytobacteriology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:ECBU' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:parasitology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:immuno' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:molecularBio' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:liquidBio' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:mycrobacteriology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:endocrin' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:serologie' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name  = 'Workplan:HIV' ) 
