id,type_name,description,lastUpdated
nextval( 'observation_history_type_seq') ,nameOfDoctor,Name of Doctor,NOW()
nextval( 'observation_history_type_seq') ,anyPriorDiseases,Any Prior Diseases,NOW()
nextval( 'observation_history_type_seq') ,priorDiseases,Prior Diseases,NOW()
nextval( 'observation_history_type_seq') ,anyCurrentDiseases,Any Current Diseases,NOW()
nextval( 'observation_history_type_seq') ,currentDiseases,Current Diseases,NOW()
nextval( 'observation_history_type_seq') ,arvProphylaxisBenefit,Arv Prophylaxis Benefit,NOW()
nextval( 'observation_history_type_seq') ,arvProphylaxis,Arv Prophylaxis,NOW()
nextval( 'observation_history_type_seq') ,currentARVTreatment,Current ARV Treatment,NOW()
nextval( 'observation_history_type_seq') ,priorARVTreatment,Prior ARV Treatment,NOW()
nextval( 'observation_history_type_seq') ,priorARVTreatmentINNs,Prior ARV Treatment Medicines (INN),NOW()
nextval( 'observation_history_type_seq') ,cotrimoxazoleTreatment,Cotrimoxazole Treatment,NOW()
nextval( 'observation_history_type_seq') ,aidsStage,AIDS Stage,NOW()
nextval( 'observation_history_type_seq') ,currentOITreatment,Current Opportunistic Infection Treatment,NOW()
nextval( 'observation_history_type_seq') ,patientWeight,Patient Weight,NOW()
nextval( 'observation_history_type_seq') ,karnofskyScore,Karnofsky Score,NOW()
