id,has_select,has_add,has_update,has_delete,system_role_id,system_module_id
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'MasterList' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'UnifiedSystemUser' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'SystemUserModule' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'SystemModule' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'ReportAdmin' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'UnitOfMeasure' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TypeOfTestResult' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TypeOfSampleTest' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TypeOfSamplePanel' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TypeOfSample' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TestSection' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TestResult' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TestReflex' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TestAnalyte' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'StatusOfSample' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'SiteInformation' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Role' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'ResultLimits' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'PatientType' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'PanelItem' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Panel' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Organization' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Method' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Gender' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Dictionary' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'AnalyzerTestName' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Analyte' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'User Admin' ) , ( select id from system_module where name = 'MasterList' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'User Admin' ) , ( select id from system_module where name = 'UnifiedSystemUser' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'LogbookResults:hematology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'LogbookResults:chem' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'LogbookResults:immuno' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'LogbookResults:serology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'LogbookResults:virology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'AnalyzerResults:cobas_integra' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'AnalyzerResults:sysmex' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'AnalyzerResults:facscalibur' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = '' ) , ( select id from system_module where name = 'AnalyzerResults:evolis' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Test Result Entry' ) , ( select id from system_module where name = 'SampleEntryByProject:initial' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Test Request Verify' ) , ( select id from system_module where name = 'SampleEntryByProject:verify' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Test Request Search' ) , ( select id from system_module where name = 'SampleEdit:readonly' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Test Request Edit' ) , ( select id from system_module where name = 'SampleEdit:readwrite' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Demographics Entry' ) , ( select id from system_module where name = 'PatientEntryByProject:initial' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Demographics Verify' ) , ( select id from system_module where name = 'PatientEntryByProject:verify' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Immunology manual' ) , ( select id from system_module where name = 'LogbookResults:immuno' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Immunology manual' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Immunology manual' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Immunology manual' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Immunology manual' ) , ( select id from system_module where name = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Immunology manual' ) , ( select id from system_module where name = 'Workplan:immunology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Facsalibur user' ) , ( select id from system_module where name = 'AnalyzerResults:facscalibur' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Facsalibur user' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Facsalibur user' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Facsalibur user' ) , ( select id from system_module where name = 'PatientResults' ) 
