# Vector species configuration
# Columns:
#   genus              - taxonomic genus (required)
#   species            - taxonomic species epithet (required)
#   subspecies         - subspecies or variant (optional)
#   sampleTypeAbbrev   - localAbbreviation of vector sample type (domain=V, must exist)
#   isActive           - Y/N (default Y)
#   pathogenCategory   - dictionary category name whose entries become this species' pathogens
#   lifecycleCategory  - dictionary category name whose entries become this species' lifecycle stages
genus,species,subspecies,sampleTypeAbbrev,isActive,pathogenCategory,lifecycleCategory
Aedes,aegypti,,MOSQUITO,Y,aedesAegyptiPathogens,mosquitoFullCycle
Aedes,albopictus,,MOSQUITO,Y,aedesAlbopictusPathogens,mosquitoFullCycle
Anopheles,gambiae,,MOSQUITO,Y,anophelesPathogens,mosquitoFullCycle
Anopheles,arabiensis,,MOSQUITO,Y,anophelesPathogens,mosquitoFullCycle
Anopheles,sundaicus,,MOSQUITO,Y,anophelesPathogens,mosquitoFullCycle
Anopheles,farauti,,MOSQUITO,Y,anophelesPathogens,mosquitoFullCycle
Anopheles,maculatus,,MOSQUITO,Y,anophelesPathogens,mosquitoFullCycle
Culex,quinquefasciatus,,MOSQUITO,Y,culexPathogens,mosquitoFullCycle
Phlebotomus,papatasi,,FLY,Y,phlebotomusPathogens,flyStages
Musca,domestica,,FLY,Y,muscaPathogens,flyStages
Xenopsylla,cheopis,,FLEA,Y,xenopsyllaPathogens,fleaFullCycle
Rattus,norvegicus,,RODENT,Y,rattusPathogens,rodentStages
Rattus,rattus,,RODENT,Y,rattusPathogens,rodentStages
