category,dictEntry,localAbbreviation,isActive,sortOrder,loincCode,localization:en,localization:fr,localization:es,localization:id
# ============================================================================
# SHARED PATHOGEN POOL — all possible vector-borne pathogens
# ============================================================================
vecPathogens,Dengue,Dengue,Y,10,,Dengue,Dengue,Dengue,Dengue
vecPathogens,Zika,Zika,Y,20,,Zika,Zika,Zika,Zika
vecPathogens,Chikungunya,Chikungunya,Y,30,,Chikungunya,Chikungunya,Chikungunya,Chikungunya
vecPathogens,Malaria,Malaria,Y,40,,Malaria,Paludisme,Malaria,Malaria
vecPathogens,Yellow Fever,YellowFever,Y,50,,Yellow Fever,Fievre Jaune,Fiebre Amarilla,Demam Kuning
vecPathogens,West Nile Virus,WestNile,Y,60,,West Nile Virus,Virus du Nil Occidental,Virus del Nilo Occidental,Virus Nil Barat
vecPathogens,Rift Valley Fever,RiftValley,Y,70,,Rift Valley Fever,Fievre de la Vallee du Rift,Fiebre del Valle del Rift,Demam Lembah Rift
vecPathogens,Plague,Plague,Y,80,,Plague,Peste,Plaga,Pes
vecPathogens,Typhus,Typhus,Y,90,,Typhus,Typhus,Tifus,Tifus
# ============================================================================
# SHARED LIFECYCLE STAGE POOL — all possible vector lifecycle stages
# ============================================================================
vecLifecycleStages,Adult,ADULT,Y,10,,Adult,Adulte,Adulto,Dewasa
vecLifecycleStages,Larva,LARVA,Y,20,,Larva,Larve,Larva,Larva
vecLifecycleStages,Pupa,PUPA,Y,30,,Pupa,Pupe,Pupa,Pupa
vecLifecycleStages,Egg,EGG,Y,40,,Egg,Oeuf,Huevo,Telur
vecLifecycleStages,Nymph,NYMPH,Y,50,,Nymph,Nymphe,Ninfa,Nimfa
# ============================================================================
# SPECIES-SPECIFIC PATHOGEN CATEGORIES
# Each category is a named subset of vecPathogens linked to one species.
# The category name is referenced in vector-species.csv under pathogenCategory.
# ============================================================================
aedesAegyptiPathogens,Dengue,Dengue,Y,10,,Dengue,Dengue,Dengue,Dengue
aedesAegyptiPathogens,Zika,Zika,Y,20,,Zika,Zika,Zika,Zika
aedesAegyptiPathogens,Chikungunya,Chikungunya,Y,30,,Chikungunya,Chikungunya,Chikungunya,Chikungunya
aedesAegyptiPathogens,Yellow Fever,YellowFever,Y,40,,Yellow Fever,Fievre Jaune,Fiebre Amarilla,Demam Kuning
aedesAlbopictusPathogens,Dengue,Dengue,Y,10,,Dengue,Dengue,Dengue,Dengue
aedesAlbopictusPathogens,Zika,Zika,Y,20,,Zika,Zika,Zika,Zika
aedesAlbopictusPathogens,Chikungunya,Chikungunya,Y,30,,Chikungunya,Chikungunya,Chikungunya,Chikungunya
anophelesPathogens,Malaria,Malaria,Y,10,,Malaria,Paludisme,Malaria,Malaria
culexPathogens,West Nile Virus,WestNile,Y,10,,West Nile Virus,Virus du Nil Occidental,Virus del Nilo Occidental,Virus Nil Barat
phlebotomusPathogens,Rift Valley Fever,RiftValley,Y,10,,Rift Valley Fever,Fievre de la Vallee du Rift,Fiebre del Valle del Rift,Demam Lembah Rift
xenopsyllaPathogens,Plague,Plague,Y,10,,Plague,Peste,Plaga,Pes
xenopsyllaPathogens,Typhus,Typhus,Y,20,,Typhus,Typhus,Tifus,Tifus
rattusPathogens,Plague,Plague,Y,10,,Plague,Peste,Plaga,Pes
rattusPathogens,Typhus,Typhus,Y,20,,Typhus,Typhus,Tifus,Tifus
muscaPathogens,Typhus,Typhus,Y,10,,Typhus,Typhus,Tifus,Tifus
# ============================================================================
# SPECIES-SPECIFIC LIFECYCLE CATEGORIES
# ============================================================================
mosquitoFullCycle,Adult,ADULT,Y,10,,Adult,Adulte,Adulto,Dewasa
mosquitoFullCycle,Larva,LARVA,Y,20,,Larva,Larve,Larva,Larva
mosquitoFullCycle,Pupa,PUPA,Y,30,,Pupa,Pupe,Pupa,Pupa
mosquitoFullCycle,Egg,EGG,Y,40,,Egg,Oeuf,Huevo,Telur
fleaFullCycle,Adult,ADULT,Y,10,,Adult,Adulte,Adulto,Dewasa
fleaFullCycle,Larva,LARVA,Y,20,,Larva,Larve,Larva,Larva
fleaFullCycle,Pupa,PUPA,Y,30,,Pupa,Pupe,Pupa,Pupa
fleaFullCycle,Egg,EGG,Y,40,,Egg,Oeuf,Huevo,Telur
flyStages,Adult,ADULT,Y,10,,Adult,Adulte,Adulto,Dewasa
flyStages,Larva,LARVA,Y,20,,Larva,Larve,Larva,Larva
flyStages,Pupa,PUPA,Y,30,,Pupa,Pupe,Pupa,Pupa
rodentStages,Adult,ADULT,Y,10,,Adult,Adulte,Adulto,Dewasa
# ============================================================================
# VECTOR TEST RESULT OPTIONS
# ============================================================================
Test Results,Detected,DET,Y,50,,Detected,Détecté,Detectado,Terdeteksi
Test Results,Not Detected,NDET,Y,51,,Not Detected,Non Détecté,No Detectado,Tidak Terdeteksi
# ============================================================================
# Localization fallback: es/id duplicate en until proper translations arrive.
# (Lifecycle stage uses the existing vecLifecycleStages category — not duplicated.)
# ============================================================================
# ============================================================================
# V-03 VECTOR SURVEILLANCE — FRS §A.7 (trimmed: 3 categories × 3 entries each)
# ============================================================================
# vecPathogenResult — A.7.1
vecPathogenResult,Positive,POSITIVE,Y,1,,,,,
vecPathogenResult,Negative,NEGATIVE,Y,2,,,,,
vecPathogenResult,Equivocal / Indeterminate,EQUIVOCAL,Y,3,,,,,
vecPathogenResult,Invalid,INVALID,Y,4,,,,,
