panelName,sampleTypes,tests,loinc,isActive,sortOrder,localization:en,localization:fr,localization:es,localization:id
# ============================================================================
# VECTOR SURVEILLANCE PANELS
# ============================================================================
Vector Mosquito Panel,Mosquito,Malaria Parasite Detection(Mosquito)|Dengue Virus Detection(Mosquito)|Chikungunya Virus Detection(Mosquito)|Zika Virus Detection(Mosquito)|West Nile Virus Detection(Mosquito),91001-1,Y,1,Vector Mosquito Panel,Panel Moustique Vectoriel,Panel de Mosquito Vectorial,Panel Nyamuk Vektor
Malaria Screening Panel (vector),Mosquito,Pan-Plasmodium CSP ELISA(Mosquito)|Pan-Plasmodium 18S rRNA PCR(Mosquito),91002-2,Y,1,,,,
Plasmodium Speciation Panel (vector),Mosquito,P. falciparum species-specific PCR(Mosquito)|P. vivax species-specific PCR(Mosquito)|P. malariae species-specific PCR(Mosquito)|P. ovale species-specific PCR(Mosquito),91003-3,Y,2,,,,
Dengue Screening Panel (vector),Mosquito,DENV NS1 Antigen ELISA(Mosquito)|DENV Pan-serotype RT-PCR(Mosquito),91004-4,Y,3,,,,
DENV Serotyping Panel (vector),Mosquito,DENV-1 RT-PCR(Mosquito)|DENV-2 RT-PCR(Mosquito)|DENV-3 RT-PCR(Mosquito)|DENV-4 RT-PCR(Mosquito),91005-5,Y,4,,,,
Arbovirus Screening Panel (vector),Mosquito,Pan-flavivirus RT-PCR(Mosquito)|Pan-alphavirus RT-PCR(Mosquito),91006-6,Y,5,,,,
Arbovirus Confirmation Panel (vector),Mosquito,Virus isolation (cell culture)(Mosquito)|Pathogen-specific sequencing(Mosquito),91007-7,Y,6,,,,
Zika Screening Panel (vector),Mosquito,Zika RT-PCR (NS5 target)(Mosquito),91008-8,Y,7,,,,
Zika Confirmation Panel (vector),Mosquito,Zika envelope gene sequencing(Mosquito)|Zika plaque reduction neutralization(Mosquito),91009-9,Y,8,,,,
Chikungunya Screening Panel (vector),Mosquito,CHIKV RT-PCR(Mosquito)|CHIKV IgM ELISA(Mosquito),91010-0,Y,9,,,,
Chikungunya Confirmation Panel (vector),Mosquito,CHIKV E1 gene sequencing(Mosquito)|CHIKV virus isolation(Mosquito),91011-1,Y,10,,,,
Mosquito Blood-Meal Identification Panel,Mosquito,Bloodmeal — Human (cytb)(Mosquito)|Bloodmeal — Bovine (Bos taurus)(Mosquito)|Bloodmeal — Canine (Canis familiaris)(Mosquito)|Bloodmeal — Avian (Gallus gallus)(Mosquito)|Bloodmeal — Porcine (Sus scrofa)(Mosquito)|Bloodmeal — Caprine (Capra hircus)(Mosquito),91012-2,Y,11,,,,
Plasmodium Drug Resistance Panel (vector),Mosquito,pfkelch13(Mosquito)|pfcrt(Mosquito)|pfmdr1(Mosquito)|dhfr(Mosquito)|dhps(Mosquito),91013-3,Y,12,,,,
Vector Insecticide Resistance Panel (vector),Mosquito,kdr-East (L1014S)(Mosquito)|kdr-West (L1014F)(Mosquito)|ace-1 (G119S)(Mosquito)|WHO bottle bioassay — Deltamethrin(Mosquito)|WHO bottle bioassay — Permethrin(Mosquito),91014-4,Y,13,,,,
Sporozoite Confirmation Panel (vector),Mosquito,Sporozoite Microscopy (Salivary Gland Dissection)(Mosquito),91015-5,Y,14,,,,
Vector Fly Panel,Fly,Trypanosoma Detection(Fly)|Leishmaniasis Detection(Fly),91016-6,Y,2,Vector Fly Panel,Panel Mouche Vectorielle,Panel de Mosca Vectorial,Panel Lalat Vektor
Vector Flea Panel,Flea,Yersinia pestis Detection(Flea)|Rickettsia Detection(Flea),91017-7,Y,3,Vector Flea Panel,Panel Puce Vectorielle,Panel de Pulga Vectorial,Panel Kutu Vektor
Vector Rodent Panel,Rodent,Leptospira Detection(Rodent)|Hantavirus Detection(Rodent),91018-8,Y,4,Vector Rodent Panel,Panel Rongeur Vectoriel,Panel de Roedor Vectorial,Panel Hewan Pengerat Vektor
# ============================================================================
# ENVIRONMENTAL SURVEILLANCE PANELS
# ============================================================================
Groundwater Panel,Groundwater,pH(Groundwater)|Total Dissolved Solids(Groundwater)|Dissolved Oxygen(Groundwater)|Biological Oxygen Demand(Groundwater)|Lead(Groundwater)|Mercury(Groundwater)|Total Coliform(Groundwater)|E. coli Presence(Groundwater),91019-9,Y,5,Groundwater Panel,Panel Eau Souterraine,Panel de Agua Subterránea,Panel Air Tanah
