description,localAbbreviation,domain,isActive,sortOrder,loinc,localization:en,localization:fr,localization:es,localization:id
Whole Blood,WB,H,Y,1,LP7057-5,Whole Blood,Sang Total,Sangre Entera,Darah Lengkap
Serum,SER,H,Y,2,LP7576-4,Serum,Sérum,Suero,Serum
Plasma,PLS,H,Y,3,LP7567-3,Plasma,Plasma,Plasma,Plasma
Urine,UR,H,Y,4,LP7681-2,Urine,Urine,Orina,Urin
Stool,STL,H,Y,5,LP7576-4,Stool,Selles,Heces,Tinja
Cerebrospinal Fluid,CSF,H,Y,6,LP7638-2,Cerebrospinal Fluid,Liquide Céphalo-Rachidien,Líquido Cefalorraquídeo,Cairan Serebrospinal
Sputum,SPT,H,Y,7,LP7595-4,Sputum,Expectoration,Esputo,Dahak
Swab,SWB,H,Y,8,LP7592-1,Swab,Écouvillon,Hisopo,Swab
Tissue,TIS,H,Y,9,LP7611-9,Tissue,Tissu,Tejido,Jaringan
Saliva,SAL,H,Y,10,LP7583-0,Saliva,Salive,Saliva,Air Liur
Skin,SKN,H,Y,11,LP7594-7,Skin,Peau,Piel,Kulit
Genital Specimen,GEN,H,Y,12,LP7546-7,Genital Specimen,Prélèvement Génital,Muestra Genital,Spesimen Genital
Vaginal Fluid,VAG,H,Y,13,LP7618-4,Vaginal Fluid,Liquide Vaginal,Fluido Vaginal,Cairan Vagina
Mosquito,MOSQUITO,V,Y,1,,Mosquito,Moustique,Mosquito,Nyamuk
Fly,FLY,V,Y,2,,Fly,Mouche,Mosca,Lalat
Flea,FLEA,V,Y,3,,Flea,Puce,Pulga,Kutu
Rodent,RODENT,V,Y,4,,Rodent,Rongeur,Roedor,Hewan Pengerat
